link_title,web_title,bio_url,image_url
Mario Totta,Mario Totta,https://pt.wikipedia.org/wiki/Mario_Totta,https://upload.wikimedia.org/wikipedia/commons/2/2a/Faculdade_de_Medicina_da_Universidade_Federal_do_Rio_Grande_do_Sul_(Campus_Sa%C3%BAde)_011_M%C3%A1rio_Totta.JPG
Ferreira Leal,Ferreira Leal,https://pt.wikipedia.org/wiki/Ferreira_Leal,
Paulino Azurenha,Paulino Azurenha,https://pt.wikipedia.org/wiki/Paulino_Azurenha,
Paulo Marques de Oliveira,Paulo Marques de Oliveira,https://pt.wikipedia.org/wiki/Paulo_Marques_de_Oliveira,
José Carlos de Sousa Lobo,José Carlos de Sousa Lobo,https://pt.wikipedia.org/wiki/Jos%C3%A9_Carlos_de_Sousa_Lobo,
Figueiredo Pimentel,Figueiredo Pimentel,https://pt.wikipedia.org/wiki/Figueiredo_Pimentel,
Max Fleiuss,Max Fleiuss,https://pt.wikipedia.org/wiki/Max_Fleiuss,
Pápi Júnior,Pápi Júnior,https://pt.wikipedia.org/wiki/P%C3%A1pi_J%C3%BAnior,
Coelho Neto,Coelho Neto,https://pt.wikipedia.org/wiki/Coelho_Neto,https://upload.wikimedia.org/wikipedia/commons/6/64/Coelho_Neto.jpg
Rodolfo Teófilo,Rodolfo Teófilo,https://pt.wikipedia.org/wiki/Rodolfo_Te%C3%B3filo,
Maria Benedita Bormann,Maria Benedita Bormann,https://pt.wikipedia.org/wiki/Maria_Benedita_Bormann,https://upload.wikimedia.org/wikipedia/commons/b/b8/Mulheres_Ilustres_do_Brasil_-_D%C3%A9lia_(Maria_Benedicta_de_Borghman)_(cropped).png
Marques de Carvalho,Marques de Carvalho,https://pt.wikipedia.org/wiki/Marques_de_Carvalho,
Horácio de Carvalho,Horácio de Carvalho,https://pt.wikipedia.org/wiki/Hor%C3%A1cio_de_Carvalho,
Antônio Sales,Antônio Sales,https://pt.wikipedia.org/wiki/Ant%C3%B4nio_Sales,
Carlos Dias Fernandes,Carlos Dias Fernandes,https://pt.wikipedia.org/wiki/Carlos_Dias_Fernandes,https://upload.wikimedia.org/wikipedia/commons/0/03/Carlos_Dias_Fernandes.jpg
Antônio de Oliveira (escritor),Antônio de Oliveira (escritor),https://pt.wikipedia.org/wiki/Ant%C3%B4nio_de_Oliveira_(escritor),
Emília Bandeira de Melo,Emília Bandeira de Melo,https://pt.wikipedia.org/wiki/Em%C3%ADlia_Bandeira_de_Melo,
Canto e Mello,Canto e Mello,https://pt.wikipedia.org/wiki/Canto_e_Mello,
Avelino Fóscolo,Avelino Fóscolo,https://pt.wikipedia.org/wiki/Avelino_F%C3%B3scolo,https://upload.wikimedia.org/wikipedia/commons/5/57/Avelino_F%C3%B3scolo_2.jpg
Cardoso de Oliveira,Cardoso de Oliveira,https://pt.wikipedia.org/wiki/Cardoso_de_Oliveira,
Pardal Mallet,Pardal Mallet,https://pt.wikipedia.org/wiki/Pardal_Mallet,https://upload.wikimedia.org/wikipedia/commons/a/a3/Pardal_Mallet.jpg
Baptista Cepellos,Baptista Cepellos,https://pt.wikipedia.org/wiki/Baptista_Cepellos,https://upload.wikimedia.org/wikipedia/commons/8/8f/Busto_de_Batista_Cepelos.jpg
Faria Neves Sobrinho,Faria Neves Sobrinho,https://pt.wikipedia.org/wiki/Faria_Neves_Sobrinho,
Carneiro Vilela,Carneiro Vilela,https://pt.wikipedia.org/wiki/Carneiro_Vilela,
Theotônio Freire,Theotônio Freire,https://pt.wikipedia.org/wiki/Theot%C3%B4nio_Freire,
Manoel Arão de Oliveira Campos,Manoel Arão de Oliveira Campos,https://pt.wikipedia.org/wiki/Manoel_Ar%C3%A3o_de_Oliveira_Campos,
Afonso Celso,Afonso Celso,https://pt.wikipedia.org/wiki/Afonso_Celso,https://upload.wikimedia.org/wikipedia/commons/5/57/Afonso_Celso.jpg
Alberto de Oliveira,Alberto de Oliveira,https://pt.wikipedia.org/wiki/Alberto_de_Oliveira,https://upload.wikimedia.org/wikipedia/commons/8/85/Alberto_de_Oliveira_(Iconogr%C3%A1fico).jpg
