profession_id,bio_url
d9792821-e6ed-43f4-999c-20a7613408e4,Rodrigo_Ot%C3%A1vio
d9792821-e6ed-43f4-999c-20a7613408e4,Valentim_Magalh%C3%A3es
d9792821-e6ed-43f4-999c-20a7613408e4,Vicente_de_Carvalho
d9792821-e6ed-43f4-999c-20a7613408e4,Alphonsus_de_Guimaraens
d9792821-e6ed-43f4-999c-20a7613408e4,Artur_de_Sales
d9792821-e6ed-43f4-999c-20a7613408e4,Cruz_e_Sousa
d9792821-e6ed-43f4-999c-20a7613408e4,Pedro_Kilkerry
d9792821-e6ed-43f4-999c-20a7613408e4,Nestor_V%C3%ADtor
d9792821-e6ed-43f4-999c-20a7613408e4,Augusto_dos_Anjos
d9792821-e6ed-43f4-999c-20a7613408e4,Euclides_da_Cunha
d9792821-e6ed-43f4-999c-20a7613408e4,Gra%C3%A7a_Aranha
d9792821-e6ed-43f4-999c-20a7613408e4,Lima_Barreto_(escritor)
d9792821-e6ed-43f4-999c-20a7613408e4,Monteiro_Lobato
d9792821-e6ed-43f4-999c-20a7613408e4,Raul_de_Leoni
d9792821-e6ed-43f4-999c-20a7613408e4,Ant%C3%B4nio_de_Alc%C3%A2ntara_Machado
d9792821-e6ed-43f4-999c-20a7613408e4,Augusto_Frederico_Schmidt
d9792821-e6ed-43f4-999c-20a7613408e4,Carlos_Drummond_de_Andrade
d9792821-e6ed-43f4-999c-20a7613408e4,Cec%C3%ADlia_Meireles
d9792821-e6ed-43f4-999c-20a7613408e4,Cassiano_Ricardo
d9792821-e6ed-43f4-999c-20a7613408e4,Corn%C3%A9lio_Pena
d9792821-e6ed-43f4-999c-20a7613408e4,Cyro_dos_Anjos
d9792821-e6ed-43f4-999c-20a7613408e4,Dante_Milano
d9792821-e6ed-43f4-999c-20a7613408e4,%C3%89rico_Ver%C3%ADssimo
d9792821-e6ed-43f4-999c-20a7613408e4,Euclides_Neto
d9792821-e6ed-43f4-999c-20a7613408e4,Graciliano_Ramos
d9792821-e6ed-43f4-999c-20a7613408e4,Guilherme_de_Almeida
d9792821-e6ed-43f4-999c-20a7613408e4,Henriqueta_Lisboa
d9792821-e6ed-43f4-999c-20a7613408e4,Jorge_Amado
d9792821-e6ed-43f4-999c-20a7613408e4,Jorge_de_Lima
d9792821-e6ed-43f4-999c-20a7613408e4,Jos%C3%A9_Am%C3%A9rico_de_Almeida
d9792821-e6ed-43f4-999c-20a7613408e4,Jos%C3%A9_Geraldo_Vieira
d9792821-e6ed-43f4-999c-20a7613408e4,Jos%C3%A9_Lins_do_Rego
d9792821-e6ed-43f4-999c-20a7613408e4,Ju%C3%B3_Banan%C3%A8re
d9792821-e6ed-43f4-999c-20a7613408e4,L%C3%BAcio_Cardoso
d9792821-e6ed-43f4-999c-20a7613408e4,Manuel_Bandeira
d9792821-e6ed-43f4-999c-20a7613408e4,M%C3%A1rio_de_Andrade
d9792821-e6ed-43f4-999c-20a7613408e4,Mario_Quintana
d9792821-e6ed-43f4-999c-20a7613408e4,Marques_Rebelo
d9792821-e6ed-43f4-999c-20a7613408e4,Menotti_Del_Picchia
d9792821-e6ed-43f4-999c-20a7613408e4,Murilo_Mendes
d9792821-e6ed-43f4-999c-20a7613408e4,Oswald_de_Andrade
d9792821-e6ed-43f4-999c-20a7613408e4,Ot%C3%A1vio_de_Faria
d9792821-e6ed-43f4-999c-20a7613408e4,Pagu
d9792821-e6ed-43f4-999c-20a7613408e4,Rachel_de_Queiroz
d9792821-e6ed-43f4-999c-20a7613408e4,Raul_Bopp
d9792821-e6ed-43f4-999c-20a7613408e4,Ribeiro_Couto
d9792821-e6ed-43f4-999c-20a7613408e4,Ronald_de_Carvalho
d9792821-e6ed-43f4-999c-20a7613408e4,Vin%C3%ADcius_de_Morais
d9792821-e6ed-43f4-999c-20a7613408e4,Adalgisa_Nery
d9792821-e6ed-43f4-999c-20a7613408e4,Clarice_Lispector
d9792821-e6ed-43f4-999c-20a7613408e4,Dalc%C3%ADdio_Jurandir
d9792821-e6ed-43f4-999c-20a7613408e4,Elisa_Lispector
d9792821-e6ed-43f4-999c-20a7613408e4,Geir_Campos
d9792821-e6ed-43f4-999c-20a7613408e4,Guimar%C3%A3es_Rosa
d9792821-e6ed-43f4-999c-20a7613408e4,Jo%C3%A3o_Cabral_de_Melo_Neto
d9792821-e6ed-43f4-999c-20a7613408e4,Jorge_Andrade_(dramaturgo)
d9792821-e6ed-43f4-999c-20a7613408e4,L%C3%AAdo_Ivo
d9792821-e6ed-43f4-999c-20a7613408e4,Mauro_Mota
d9792821-e6ed-43f4-999c-20a7613408e4,Geraldo_Vidigal
d9792821-e6ed-43f4-999c-20a7613408e4,Domingos_Carvalho_da_Silva
d9792821-e6ed-43f4-999c-20a7613408e4,Nelson_Rodrigues
d9792821-e6ed-43f4-999c-20a7613408e4,P%C3%A9ricles_Eug%C3%AAnio_da_Silva_Ramos
d9792821-e6ed-43f4-999c-20a7613408e4,Ferreira_Gullar
d9792821-e6ed-43f4-999c-20a7613408e4,D%C3%A9cio_Pignatari
d9792821-e6ed-43f4-999c-20a7613408e4,Haroldo_de_Campos
d9792821-e6ed-43f4-999c-20a7613408e4,Augusto_de_Campos
d9792821-e6ed-43f4-999c-20a7613408e4,Ad%C3%A9lia_Prado
d9792821-e6ed-43f4-999c-20a7613408e4,Adonias_Filho
d9792821-e6ed-43f4-999c-20a7613408e4,Affonso_Romano_de_Sant%27Anna
d9792821-e6ed-43f4-999c-20a7613408e4,Aidenor_Aires
d9792821-e6ed-43f4-999c-20a7613408e4,Alberto_Mussa
d9792821-e6ed-43f4-999c-20a7613408e4,%C3%81lvaro_Cardoso_Gomes
d9792821-e6ed-43f4-999c-20a7613408e4,Ana_Maria_Machado
d9792821-e6ed-43f4-999c-20a7613408e4,Ana_Miranda
d9792821-e6ed-43f4-999c-20a7613408e4,Ana_Cristina_Cesar
d9792821-e6ed-43f4-999c-20a7613408e4,Angela_Dutra_de_Menezes
d9792821-e6ed-43f4-999c-20a7613408e4,Ant%C3%B4nio_Callado
d9792821-e6ed-43f4-999c-20a7613408e4,Ant%C3%B4nio_Carlos_Viana
d9792821-e6ed-43f4-999c-20a7613408e4,Ant%C3%B4nio_Torres
d9792821-e6ed-43f4-999c-20a7613408e4,Ariano_Suassuna
d9792821-e6ed-43f4-999c-20a7613408e4,Armando_Freitas_Filho
d9792821-e6ed-43f4-999c-20a7613408e4,Augusto_Boal
